S11  X,S11  YRe,S11  YReImag
76999999999.99998,-0.04519719037704117,-0.08443177149050268
77099999999.99998,-0.04574987896635274,-0.08067399744098193
77199999999.99998,-0.04627723904328507,-0.0769151271598551
77299999999.99998,-0.04678008367077213,-0.07315530988471676
77399999999.99998,-0.04725932969465385,-0.06939463602919876
77499999999.99998,-0.04781628963582985,-0.06566699194618447
77599999999.99998,-0.04815162916580362,-0.06187056189632956
77699999999.99998,-0.04856766482089081,-0.05810682696374438
77799999999.99998,-0.04896634455070192,-0.05434131886656417
77899999999.99998,-0.04935051469298313,-0.05057311880888305
77999999999.99998,-0.04972402807259568,-0.04680066576535753
78099999999.99998,-0.0500922317123329,-0.04302132242334734
78199999999.99998,-0.05046274552727703,-0.03923055647241028
78299999999.99998,-0.0508467354959492,-0.03542031297557097
78399999999.99998,-0.05126099524153316,-0.03157555496891654
78499999999.99998,-0.05173116413951584,-0.02766630840015959
78599999999.99998,-0.052295216721717,-0.02362767143020834
78699999999.99998,-0.05299643707988122,-0.01930515210716465
78799999999.99998,-0.05378407540882757,-0.01430588080112126
78899999999.99998,-0.05382233331298236,-0.007852730143193612
78999999999.99998,-0.05046859600861464,-0.001278040773680217
79099999999.99998,-0.04623610512032117,0.0001110386628091387
79199999999.99998,-0.04580389550982333,0.001105979711035101
79299999999.99998,-0.04626771606173319,0.003435944106135473
79399999999.99998,-0.04668954273020809,0.006450280765036532
79499999999.99998,-0.04696314949373936,0.009766831557250326
79599999999.99998,-0.04710935634069779,0.01322598731315688
79699999999.99998,-0.04715650277725725,0.01675757438951705
79799999999.99998,-0.0471257000958164,0.02032775046137389
79899999999.99998,-0.04703143882718963,0.02391872034244405
79999999999.99998,-0.0468836407881108,0.0275204047813548
80099999999.99998,-0.04668922298725386,0.03112671889578564
80199999999.99998,-0.04645313171622689,0.03473378373744438
80299999999.99998,-0.04617898991343594,0.03833900252567739
80399999999.99998,-0.04586952067216443,0.04194055940695907
80499999999.99998,-0.0456285578159692,0.04553636283140033
80599999999.99998,-0.04515254251393741,0.04912783842902707
80699999999.99998,-0.04474802077587903,0.05271178549986358
80799999999.99998,-0.044314358110918,0.05628847026298727
80899999999.99998,-0.04385248769954897,0.05985745370746088
80999999999.99998,-0.04336321957622313,0.06341842605486378
81099999999.99998,-0.04284727444644176,0.06697121318601357
81199999999.99998,-0.04230530860116799,0.07051580653273032
81299999999.99998,-0.04173792323043002,0.07405244390377171
81399999999.99998,-0.04114564346135829,0.07758176718695634
81499999999.99998,-0.04052880044276808,0.08110515656522539
81599999999.99998,-0.03988707376373113,0.08462544826232322
81699999999.99998,-0.0392177125916382,0.08814842485554168
81799999999.99998,-0.03850818900601483,0.09168458483439368
81899999999.99998,-0.03771056693493502,0.09523385116163514
81999999999.99998,-0.0367729175986139,0.09866350484565009
