S11 dB20 X,S11 dB20 Y
76999999999.99998,-20.37559153472403
77099999999.99998,-20.65433617861215
77199999999.99998,-20.93798627260243
77299999999.99998,-21.22624300115249
77399999999.99998,-21.51868808029521
77499999999.99998,-21.80551396913724
77599999999.99998,-22.11368876492944
77699999999.99998,-22.41449811672769
77799999999.99998,-22.71590872515187
77899999999.99998,-23.01628549007033
77999999999.99998,-23.31354955432697
78099999999.99998,-23.6050695044649
78199999999.99998,-23.88752101350953
78299999999.99998,-24.1567001044626
78399999999.99998,-24.40727296603202
78499999999.99998,-24.63247435366631
78599999999.99998,-24.82400811411313
78699999999.99998,-24.97393839960547
78799999999.99998,-25.09004810149225
78899999999.99998,-25.28927114924486
78999999999.99998,-25.93679138927292
79099999999.99998,-26.70035010315118
79199999999.99998,-26.77942037369839
79299999999.99998,-26.67055374782145
79399999999.99998,-26.53349865906554
79499999999.99998,-26.38096893735962
79599999999.99998,-26.20836273030805
79699999999.99998,-26.01269937678981
79799999999.99998,-25.79376142348649
79899999999.99998,-25.55321187704944
79999999999.99998,-25.29376610947397
80099999999.99998,-25.01860968164274
80199999999.99998,-24.73101517745177
80299999999.99998,-24.43410691291215
80399999999.99998,-24.13072655509864
80499999999.99998,-23.81374034930931
80599999999.99998,-23.51415911437828
80699999999.99998,-23.20488732851888
80799999999.99998,-22.89700301712999
80899999999.99998,-22.59167307557183
80999999999.99998,-22.28981253106315
81099999999.99998,-21.99211988867621
81199999999.99998,-21.69910825724529
81299999999.99998,-21.4111294031186
81399999999.99998,-21.12838916022311
81499999999.99998,-20.85094893806314
81599999999.99998,-20.57870602347079
81699999999.99998,-20.31135516946308
81799999999.99998,-20.04850094901676
81899999999.99998,-19.79159382221105
81999999999.99998,-19.5519634647497
